구,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율
강남구,600,14,10,3004,3885,87.16666666666667,71.42857142857143,100.0,43.841544607190414,85.7915057915058
강동구,170,7,3,1515,2224,84.11764705882354,100.0,100.0,50.495049504950494,84.12769784172663
강북구,188,7,8,1112,2122,71.80851063829788,100.0,75.0,54.22661870503597,93.8737040527804
강서구,269,6,11,1724,2619,91.44981412639405,50.0,81.81818181818183,56.96055684454756,85.10882016036655
관악구,352,10,9,2012,2643,86.64772727272727,100.0,100.0,50.94433399602386,87.09799470298903
광진구,229,2,7,1769,1908,80.34934497816593,50.0,71.42857142857143,55.05935556811758,85.16771488469603
구로구,250,9,8,1717,2826,72.39999999999999,100.0,100.0,45.835760046592895,83.26256192498231
금천구,200,7,6,1168,1912,92.5,85.71428571428571,100.0,55.22260273972602,90.21966527196653
노원구,194,5,5,1422,2381,89.17525773195877,100.0,80.0,41.139240506329116,82.23435531289375
도봉구,113,5,1,781,1349,100.0,60.0,100.0,55.18565941101152,83.32097850259451
동대문구,145,5,2,1447,2081,77.24137931034483,80.0,100.0,64.27090532135452,92.26333493512733
동작구,288,7,3,1151,1651,53.47222222222222,100.0,100.0,46.22067767158992,84.43367655966081
마포구,473,6,6,2011,2676,83.72093023255815,100.0,100.0,43.85877672799602,85.12705530642751
서대문구,206,3,5,1062,1526,91.74757281553399,100.0,80.0,55.08474576271186,80.9305373525557
서초구,470,5,5,1851,2395,67.02127659574468,100.0,100.0,45.272825499729876,84.34237995824635
성동구,126,5,2,999,1325,80.95238095238095,100.0,100.0,48.74874874874875,89.66037735849056
성북구,183,1,7,1164,1687,76.50273224043715,100.0,85.71428571428571,54.55326460481099,88.55957320687611
송파구,309,6,5,2352,3135,82.20064724919094,100.0,100.0,43.96258503401361,87.68740031897927
양천구,120,4,2,1384,2005,92.5,100.0,100.0,46.67630057803468,84.03990024937656
영등포구,391,8,17,2292,3132,68.28644501278772,75.0,88.23529411764706,46.42233856893543,82.05619412515965
용산구,331,3,1,1096,1980,86.10271903323263,66.66666666666666,100.0,47.627737226277375,87.52525252525253
은평구,188,1,8,1278,2115,89.8936170212766,100.0,100.0,63.84976525821596,88.36879432624114
종로구,236,3,6,1483,1962,72.88135593220339,66.66666666666666,83.33333333333334,49.763991908293995,86.90112130479103
중구,207,11,2,1855,1955,55.55555555555556,100.0,100.0,44.85175202156334,87.92838874680307
중랑구,174,3,4,1526,2581,83.33333333333334,100.0,100.0,57.40498034076016,84.96706702828362
